Gender,Age,Amount of time spent reading books per day,How to manage books for reading,Number of e-books you read last two years,Number of printed books you read last two years,Who influenced you to read books,The format that you used for reading books,Frequency of reading books
Male,23,1,E-books,More than 20,More than 20,Self-Decision,Both,On everyday basis
Male,22,2,E-books,1-5,,Teachers,E-books,On everyday basis
Male,22,1,E-books,6-10,1-5,Teachers,E-books,A few times a month
Female,23,1,E-books,,,Teachers,E-books,Once or twice a year
Female,21,2,Buy,1-5,6-10,Self-Decision,Both,A few times a month
Female,22,2,Used-all,1-5,6-10,Self-Decision,Both,A few times a week
Male,22,1,Borrow,11-15,,Parents,Printed,A few times a week
Male,22,1,Borrow,1-5,1-5,Self-Decision,Both,A few times a week
Male,22,1,E-books,1-5,1-5,Self-Decision,Both,On everyday basis
Male,22,1,E-books,11-15,11-15,Self-Decision,E-books,On everyday basis
Male,22,2,Used-all,1-5,11-15,Self-Decision,Both,On everyday basis
Female,22,2,Buy,6-10,1-5,Self-Decision,Printed,On everyday basis
Female,22,1,Borrow,More than 20,11-15,Friends,Printed,On everyday basis
Male,22,1,E-books,More than 20,More than 20,Self-Decision,Both,On everyday basis
Male,23,1,Used-all,More than 20,,Self-Decision,E-books,A few times a week
Male,22,1,E-books,More than 20,6-10,Self-Decision,Both,Once or twice a year
Male,22,1,E-books,6-10,6-10,Friends,Both,A few times a week
Female,22,2,Others,6-10,1-5,Self-Decision,Printed,On everyday basis
Male,23,4,Used-all,,1-5,Self-Decision,E-books,On everyday basis
Male,22,1,Buy,11-15,More than 20,Self-Decision,Both,A few times a week
Male,23,1,Others,11-15,,Self-Decision,E-books,A few times a month
Male,23,4,E-books,1-5,1-5,Self-Decision,Both,A few times a week
Male,23,2,Others,,1-5,Self-Decision,Printed,A few times a week
Male,22,2,Buy,,More than 20,Self-Decision,Printed,A few times a week
Female,20,8,E-books,More than 20,,Self-Decision,E-books,On everyday basis
Female,20,2,Others,6-10,6-10,Teachers,Printed,A few times a week
Male,23,1,E-books,16-20,1-5,Self-Decision,E-books,A few times a month
Male,22,1,Used-all,1-5,11-15,Self-Decision,Both,A few times a week
Female,22,4,E-books,16-20,1-5,Self-Decision,E-books,On everyday basis
Male,22,2,Buy,1-5,1-5,Self-Decision,Both,A few times a week
Female,22,4,Borrow,More than 20,More than 20,Self-Decision,E-books,A few times a month
Male,21,2,E-books,More than 20,6-10,Self-Decision,E-books,A few times a month
Male,21,2,Buy,11-15,More than 20,Self-Decision,Both,On everyday basis
Male,23,2,Used-all,1-5,6-10,Self-Decision,Both,Less than once a year
Male,22,4,Borrow,1-5,1-5,Parents,Both,A few times a month
Male,20,4,Others,,1-5,Self-Decision,Both,On everyday basis
Male,21,2,Buy,1-5,1-5,Self-Decision,Both,On everyday basis
Female,22,1,Buy,,More than 20,Parents,Printed,A few times a week
Male,23,3,Used-all,11-15,1-5,Teachers,Both,A few times a week
Male,23,1,E-books,More than 20,More than 20,Self-Decision,Both,A few times a week
Male,23,1,Buy,1-5,11-15,Self-Decision,Both,A few times a week
Male,21,2,Used-all,More than 20,11-15,Self-Decision,Both,On everyday basis
Male,22,3,Buy,,More than 20,Parents,Printed,A few times a week
Male,23,1,E-books,6-10,11-15,Self-Decision,Printed,A few times a week
Female,22,1,Others,1-5,1-5,Self-Decision,Both,A few times a month
Male,22,1,E-books,6-10,1-5,Teachers,Both,Once or twice a year
Male,21,1,E-books,11-15,,Self-Decision,E-books,On everyday basis
Male,22,1,Buy,1-5,1-5,Teachers,Both,On everyday basis
Male,22,1,Others,6-10,,Self-Decision,Printed,Less than once a year
